timestamp,open,high,low,close,volume,returns
2023-12-29,84.32,84.4,83.59,83.84,12172730,
2023-12-28,84.89,85.215,84.0,84.03,13099049,0.0022662213740458625
2023-12-27,85.71,86.0,85.02,85.33,9999751,0.015470665238605186
2023-12-26,85.7,86.165,85.44,85.71,12991727,0.004453298956990537
2023-12-22,85.34,85.715,84.845,84.98,12519124,-0.008517092521292624
2023-12-21,84.57,84.86,83.935,84.73,13031439,-0.002941868674982362
2023-12-20,85.49,85.99,84.3,84.4,19909087,-0.003894724418741835
2023-12-19,84.34,85.28,84.15,85.19,18405433,0.009360189573459632
2023-12-18,84.98,85.41,84.1,84.18,21223566,-0.011855851625777514
2023-12-15,83.99,84.46,83.6,84.3,23183183,0.0014255167498216093
2023-12-14,83.16,84.86,83.16,84.75,30358689,0.005338078291814874
2023-12-13,81.25,82.355,80.87,82.33,23222819,-0.02855457227138647
2023-12-12,81.57,81.66,80.74,81.2,22693343,-0.013725252034495261
2023-12-11,82.3,82.6,81.92,82.33,14672064,0.013916256157635365
2023-12-08,81.89,82.48,81.725,82.23,17063628,-0.001214624073849091
2023-12-07,82.29,82.695,81.055,81.35,20454412,-0.010701690380639839
2023-12-06,82.61,83.19,81.59,81.91,31092226,0.006883835279655859
2023-12-05,84.58,84.74,83.1,83.15,18873576,0.015138566719570479
2023-12-04,84.4,85.16,84.01,84.63,18535141,0.01779915814792532
2023-12-01,84.48,86.025,84.1,85.02,21523970,0.004608294930875667
2023-11-30,84.74,85.79,83.57,84.58,29182290,-0.005175252881674863
2023-11-29,85.18,85.285,83.745,84.02,22633990,-0.006620950579333207
2023-11-28,84.8,85.43,84.49,84.65,14460898,0.007498214710783158
2023-11-27,84.49,84.78,83.84,84.63,12250905,-0.00023626698168943694
2023-11-24,84.55,85.56,84.5,84.93,9576297,0.0035448422545198977
2023-11-22,82.93,84.65,82.46,84.58,18275119,-0.004121040857176572
2023-11-21,84.41,84.77,83.814,84.62,13486888,0.00047292504138107816
2023-11-20,85.04,85.5399,84.7901,84.81,14549488,0.0022453320727959802
2023-11-17,83.66,85.25,83.46,84.69,24429670,-0.0014149274849664106
2023-11-16,83.8,84.12,82.105,82.95,26582958,-0.020545518951470054
2023-11-15,84.63,85.6664,84.48,84.6,16521763,0.01989150090415892
2023-11-14,84.33,84.995,84.19,84.76,17361991,0.001891252955082967
2023-11-13,83.54,84.18,83.28,84.01,14223684,-0.00884851344974047
2023-11-10,83.43,83.61,82.62,83.41,17291783,-0.007142006903940068
2023-11-09,83.36,83.55,82.45,82.5,19116124,-0.010909962834192544
2023-11-08,83.48,84.03,82.7159,82.75,25371001,0.003030303030302939
2023-11-07,84.58,84.73,83.425,83.8,23775148,0.012688821752265822
2023-11-06,87.37,87.37,85.45,85.7,20517697,0.022673031026253065
2023-11-03,87.4,87.675,86.15,86.68,23617502,0.011435239206534442
2023-11-02,85.2,87.64,84.71,87.56,22661491,0.010152284263959421
2023-11-01,85.73,86.19,84.87,84.99,23041252,-0.029351301964367416
2023-10-31,85.01,85.37,84.16,85.19,18602849,0.002353218025650028
2023-10-30,84.93,85.54,84.09,84.91,22765336,-0.0032867707477403085
2023-10-27,86.62,86.945,84.34,84.63,26904713,-0.0032976092333059093
2023-10-26,86.59,87.11,85.8452,86.71,22385166,0.02457757296466978
2023-10-25,87.61,88.06,86.95,87.39,20706324,0.007842232729789123
2023-10-24,89.02,89.09,87.52,87.55,22135798,0.001830873097608432
2023-10-23,89.74,89.75,88.39,88.8,25944068,0.014277555682467247
2023-10-20,91.64,91.98,89.945,90.26,23274777,0.01644144144144155
2023-10-19,91.64,92.56,90.77,91.8,31648532,0.01706182140483037
2023-10-18,91.5,92.34,91.29,91.96,23808386,0.0017429193899782813
2023-10-17,89.99,91.41,89.855,91.13,20211959,-0.009025663331883371
2023-10-16,90.17,90.455,89.33,90.19,19182636,-0.010314934708657963
2023-10-13,89.09,90.02,88.71,89.59,24266126,-0.006652622241933637
2023-10-12,88.49,88.57,87.2525,87.66,19993223,-0.021542582877553396
2023-10-11,87.79,87.88,86.5538,87.56,23572661,-0.0011407711613049543
2023-10-10,88.67,89.285,88.17,88.7,20850253,0.013019643672909975
2023-10-09,88.03,88.96,87.4012,88.59,30744526,-0.0012401352874858995
2023-10-06,85.22,86.51,84.2601,85.73,25740547,-0.03228355344847045
2023-10-05,84.52,85.97,84.52,85.22,23518463,-0.005948909366616184
2023-10-04,87.21,87.36,84.91,85.75,29786159,0.006219197371509111
2023-10-03,88.38,88.7,87.66,88.53,20733283,0.03241982507288621
2023-10-02,90.27,90.51,87.98,88.59,25299903,0.0006777363605556808
2023-09-29,92.11,92.47,90.045,90.39,24184570,0.02031832035218417
2023-09-28,91.75,92.785,91.54,92.25,24231374,0.020577497510786635
2023-09-27,91.03,92.41,90.625,92.15,23144708,-0.0010840108401083404
2023-09-26,89.65,90.45,89.51,89.91,16729981,-0.02430819316332078
2023-09-25,89.07,90.57,89.07,90.43,17536880,0.00578356133911706
2023-09-22,89.83,90.43,89.225,89.31,21036026,-0.01238527037487569
2023-09-21,91.02,91.23,89.01,89.16,21723105,-0.001679543164259334
2023-09-20,90.8,91.83,90.34,90.4,17970995,0.013907581875280517
2023-09-19,92.8,92.93,90.71,91.25,18135903,0.009402654867256555
