open,high,low,close,volume
87.22,88.24,86.83,87.94,10587732
87.64,88.29,87.47,87.68,13147143
87.4,88.86,86.9,87.24,17436308
88.59,89.14,87.01,88.91,17771753
88.28,89.17,87.86,88.88,15692261
88.84,89.48,88.34,89.07,13783307
89.92,90.36,88.36,88.88,18011732
88.85,90.85,88.7,90.62,25168305
89.73,90.19,89.58,90.16,13623977
89.01,89.57,88.5,89.48,18927530
89.38,89.73,88.6,89.1,25596449
89.11,89.43,88.48,89.26,11750852
89.04,89.2,88.47,88.85,13264357
88.25,89.04,88.06,89.01,11322007
87.04,88.39,86.68,88.13,16166445
87.36,87.54,86.84,87.23,14612816
85.94,87.79,85.79,87.33,30503353
85.78,86.47,85.51,85.97,18717732
86.04,86.45,84.65,85.92,35300882
88.62,88.64,85.33,85.78,34381753
90.92,91.03,88.17,88.32,14857099
89.92,90.24,89.75,90.17,7921955
90.99,91.02,89.66,89.81,11659326
91.97,92.02,90.24,90.64,8534189
91.85,92.02,91.61,91.77,5433511
91.66,91.94,91.41,91.74,7207595
91.93,92.07,91.33,91.98,5961216
91.59,92.16,91.53,92.0,6262046
91.64,91.75,90.84,91.37,9212386
92.09,92.14,91.29,91.56,7398696
91.91,92.05,91.51,91.68,7002204
92.31,92.45,91.68,91.89,9082046
91.2,91.83,91.0,91.75,10120891
90.7,90.91,90.19,90.66,6726871
91.08,91.29,89.8,90.43,10817460
91.1,91.77,90.55,91.19,8107248
90.78,90.86,89.92,90.57,9893341
91.9,92.24,90.6,90.62,12162589
91.17,92.44,91.04,92.3,7398197
92.47,92.58,91.58,91.94,11123700
92.17,92.84,91.8409,92.58,11308845
92.08,92.17,91.52,91.85,7183529
91.73,92.14,91.41,91.99,10219428
92.03,92.15,91.58,91.91,9283753
91.35,92.31,91.29,92.06,10098311
90.65,91.29,90.52,91.08,8981596
89.64,90.5,89.38,90.42,9694373
89.11,89.45,88.63,89.4,11531179
90.17,90.36,89.28,89.59,14431013
91.65,91.77,90.05,90.3,11662385
91.73,91.97,91.17,91.64,13591690
93.28,93.45,91.06,91.69,15208819
92.22,93.08,92.14,92.95,10795155
91.75,92.25,91.55,91.65,9464107
92.04,92.36,91.61,91.92,9827557
92.47,92.72,92.24,92.35,7288017
93.02,93.24,92.61,92.68,7652584
91.89,92.6332,91.78,92.55,6488091
92.19,92.25,91.3,91.71,8368479
92.4,92.64,92.06,92.52,6959918
92.6,92.99,92.59,92.63,6284092
92.16,92.9,91.47,92.85,8234221
91.03,91.88,90.9,91.47,6938644
91.24,91.53,90.85,91.26,6435569
90.22,91.11,90.06,91.06,9093318
90.14,90.2,89.58,89.83,5017407
89.42,89.95,89.29,89.94,7284173
90.18,90.33,89.29,89.77,9511821
90.2,90.81,90.09,90.77,6135904
90.64,91.15,90.34,90.36,8921434
90.76,90.76,89.72,90.49,9308908
90.78,90.96,90.13,90.75,9386492
89.45,90.88,89.36,90.67,13410059
88.67,89.8,88.45,89.55,11706827
87.91,88.41,87.66,88.34,11099240
88.31,88.4,87.49,87.91,7113845
89.25,89.25,88.66,88.92,7241935
89.47,89.55,88.39,88.81,11306954
89.63,90.05,88.59,89.56,7722861
89.45,89.62,88.84,89.46,12244517
89.68,90.13,89.01,90.08,13367509
88.0,89.39,87.93,89.02,8731630
88.52,88.9,88.18,88.24,8288920
86.96,88.42,86.94,88.4,10540620
87.28,87.32,86.83,86.84,5448972
